Sample.no,depth,Photos.available,Notes,Remarks,Age..in.Ma.,Age_New,Planktonic_d13C,Planktonic_d18O,Benthic_d13C,Benthic_d18O,P1,P2,P3,D1,D2,R1,R2,R3,R4,R5,R6,Radius,TD,T1,T2,T3,T4,T5,N1,N2,N3,N4,N5,N6,N,WT,Last.Complete.Whorl,No..of.chambers.in.final.whorl,Series,CA1_Avg,CA2_Avg,CA3_Avg,CA4_Avg,CA5_Avg,CL1_Avg,CL2_Avg,CL3_Avg,CL4_Avg,CL5_Avg,CW1_Avg,CW2_Avg,CW3_Avg,CW4_Avg,CW5_Avg,CR1,CR2,CR3,CR4,CR5,CR,Average_Radius,Average_Chambers,Average_Thickness,CR_Avg,Zones,PD
"17,15,2 87-98_2",49.32,,,,33.05,33.17,1.14,-2.17,1.11,-1.9,199.2,224.68,236.12,121.35,272.47,409.86,574.72,776.22,984.6,NA,NA,984.6,57.29,61.65,66.05,64.15,71.9,NA,7,14,18,NA,NA,NA,39,4.5,3,18,Oligocene,14668.027,19702.32567,20198.56633,38122.84333,29586.805,116.6653333,127.675,128.4626667,149.7996667,138.971,139.003,158.845,188.661,252.6456667,230.251,0.83930083,0.803770972,0.680917978,0.59292395,0.603563068,0.603563068,686.35,13,65.9375,0.70409536,Zone 1,1.641532756
"17,15,2 87-98_3",49.32,,,,33.05,33.17,1.14,-2.17,1.11,-1.9,231.44,304.19,268.05,144.27,318.47,584.09,820.1,1046.96,NA,NA,NA,1046.96,122.73,108.49,120.33,NA,NA,NA,7,13,18,19,NA,NA,57,4,4,19,Oligocene,15986.65933,22884.92833,22155.47233,23125.15767,NA,129.0846667,144.3906667,128.8523333,130.6483333,NA,160.1466667,188.7236667,210.7123333,228.8306667,NA,0.806040296,0.765090406,0.611508265,0.570938918,NA,0.570938918,817.05,14.25,114.41,0.688394471,Zone 1,1.60421432
"17,15,2 87-98_4",49.32,,,,33.05,33.17,1.14,-2.17,1.11,-1.9,170.75,197.38,223.08,117.78,291.62,502.27,NA,NA,NA,NA,NA,502.27,75.39,73.21,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6,1.5,1,6,Oligocene,19485.75533,17224.256,NA,NA,NA,113.436,106.8886667,NA,NA,NA,160.2363333,157.088,NA,NA,NA,0.707929329,0.680438141,NA,NA,NA,0.680438141,502.27,6,73.21,0.694183735,Zone 1,1.449736797
"17,16,2 63-75_1",52.08,,,,NA,33.21,NA,NA,NA,NA,140.92,169.71,163.89,91.51,212.23,367.01,565.49,782.42,NA,NA,NA,782.42,48.99,51.14,62.73,60.59,NA,NA,6,11,15,NA,NA,NA,32,3.5,3,15,Oligocene,13538.349,21571.971,39309.28633,28536.446,NA,112.7743333,141.5953333,180.8376667,144.367,NA,146.328,165.6526667,244.543,224.5236667,NA,0.770695515,0.854772435,0.739492305,0.64299235,NA,0.64299235,571.64,10.66666667,58.15333333,0.751988151,Zone 1,1.53994099
"17,16,2 63-75_10",52.08,,,,NA,33.21,NA,NA,NA,NA,185.61,196.35,246.28,67.82,232.01,403.35,610.37,860.21,1077.94,1352.78,NA,1352.78,53.54,49.97,67.82,78.53,164.23,60.68,7,12,14,18,22,NA,73,6,5,22,Oligocene,10274.086,23676.68433,40497.09067,48845.30167,58784.633,110.8756667,139.9026667,183.8643333,202.4016667,209.7663333,104.6796667,181.72,217.67,257.815,297.646,1.059190101,0.769880402,0.844693037,0.785065519,0.704751058,0.704751058,860.93,14.6,84.246,0.832716023,Zone 1,2.736803303
"17,16,2 63-75_2",52.08,,,,NA,33.21,NA,NA,NA,NA,195.66,198.6,262.16,67.9,217.01,442.43,639.42,802.6,NA,NA,NA,802.6,30.18,44.57,87.53,23.5,NA,NA,6,11,16,NA,NA,NA,33,3.75,3,16,Oligocene,21243.96567,22045.19933,33144.79333,NA,NA,154.1196667,135.851,150.0416667,NA,NA,168.137,172.8273333,246.1853333,NA,NA,0.916631477,0.786050432,0.60946631,NA,NA,0.60946631,628.15,11,51.86666667,0.770716073,Zone 1,2.881590574
"17,16,2 63-75_3",52.08,,,,NA,33.21,NA,NA,NA,NA,195.7,230.13,255.74,65.28,219.18,459.19,652.27,902.74,1103.64,NA,NA,1103.64,39.22,70.64,58.34,79.48,72.68,NA,6,14,19,21,NA,NA,60,4.75,4,21,Oligocene,27708.80667,24084.322,23581.236,28447.03033,49400.047,161.253,149.731,141.9506667,131.9086667,169.995,178.093,179.3486667,224.597,258.484,301.9743333,0.905442662,0.834859845,0.632023877,0.510316564,0.562945195,0.562945195,779.46,15,70.285,0.689117628,Zone 1,2.997855392
"17,16,2 63-75_4",52.08,,,,NA,33.21,NA,NA,NA,NA,221.26,271.97,276.31,119.99,327.07,527.05,752.9,959.63,1160.43,1456.14,NA,1456.14,61.58,56.33,53.46,61.58,62.33,82.62,6,11,16,20,22,NA,75,5.75,5,22,Oligocene,25021.79933,34657.15433,37780.42033,40328.97333,46877.13033,169.337,161.608,154.542,162.6806667,176.25,159.9643333,212.9996667,241.8873333,255.5526667,301.0506667,1.058592228,0.758724192,0.638900755,0.636583718,0.585449625,0.585449625,971.23,15,63.264,0.735650104,Zone 1,1.843986999
"17,16,2 63-75_5",52.08,,,,NA,33.21,NA,NA,NA,NA,177.42,214.27,218.21,116.05,261.36,446.48,641.64,NA,NA,NA,NA,641.64,47.33,55.46,77.95,NA,NA,NA,10,15,NA,NA,NA,NA,25,2.5,2,15,Oligocene,13006.70633,19097.43567,21651.28233,NA,NA,120.3656667,150.311,139.837,NA,NA,118.4766667,121.804,169.7666667,NA,NA,1.015944068,1.234039933,0.823701158,NA,NA,0.823701158,544.06,12.5,66.705,1.02456172,Zone 1,1.528823783
"17,16,2 63-75_7",52.08,,slight angle-check whether to include,,NA,33.21,NA,NA,NA,NA,202.66,221.4,247.72,154.26,332.51,392.57,586.14,781.58,NA,NA,NA,781.58,94.11,33.82,58.16,54.7,NA,NA,8,14,16,19,NA,NA,57,3.75,4,19,Oligocene,32415.427,20243.52633,27287.05233,27823.69167,NA,146.8866667,116.0303333,153.39,160.6686667,NA,189.8763333,185.8006667,183.9063333,212.0335,NA,0.773591232,0.624488251,0.834065892,0.75775133,NA,0.75775133,586.7633333,14.25,48.89333333,0.747474176,Zone 1,1.313755996
