Sample Number,Remarks,Depth,Age,Planktonic_d13C,Planktonic_d18O,Benthic_d13C,Benthic_d18O,WT3D,Calcite,VP,VD,V1W,C1W,NV1W,V2W,C2W,NV2W,V3W,C3W,NV3W,V4W,C4W,NV4W,V5W,C5W,NV5W,V6W,C6W,NV6W,Diameter,Thickness,DT,CD,Series
TDP 17-1_Ready 1,,49.32,33.05,1.14,-2.17,1.11,-1.9,5,1849699814,3164367.58,566822.16,4336734.73,7,619533.53,11141716.23,15,742781.08,28735012.47,17,1690294.85,78451123.95,19,4129006.52,200123160.6,21,9529674.31,,,,2573.48,780.32,3.3,718754.3,Oligocene
TDP 17-2_Ready 2,,52.08,33.08,NA,NA,NA,NA,6.25,6071103479,11275688.33,5911240.71,11177768.52,6,1862961.42,25274660.01,13,1944204.62,50547539.66,18,2808196.65,115067123.1,20,5753356.15,291993971.5,20,14599698.58,453053805.4,25,18122152.22,3385.96,1540.16,2.2,1793022.8,Oligocene
TDP 17-2_Ready 3,,52.08,33.08,NA,NA,NA,NA,2,132016151.5,3637720.83,1724278.78,3911006.11,6,651834.35,7796864.64,14,556918.9,,,,,,,,,,,,,985.03,402.36,2.45,134022.47,Oligocene
TDP 17-2_Ready 4,,52.08,33.08,NA,NA,NA,NA,2.25,158730455.2,3347522.13,442196.95,3028615.12,6,504769.19,7792636.28,14,556616.88,,,,,,,,,,,,,922.67,418.61,2.2,172033.83,Oligocene
TDP 17-3_Ready 1,,70.1,33.27,1.14,-2.24,1.49,-1.66,3.5,821269444.9,8881103.95,3699588.35,6604023.35,5,1320804.67,25268873.84,10,2526887.38,54712914.73,15,3647527.65,,,,,,,,,,1723.75,694.24,2.48,476443.48,Oligocene
TDP 17-4_Ready 1,,71.9,33.28,1.35,-1.95,1.95,-1.62,6.5,3080823071,6196765.97,3882520.35,8937407.84,7,1276772.55,26782402.5,14,1913028.75,53899290.15,21,2566632.86,124456297.3,21,5926490.35,,,,,,,3043.1,1152.01,2.64,1012396.26,Oligocene
TDP 17-6_Ready 1,,77.9,33.33,NA,NA,NA,NA,5.5,2959682472,3399375.12,1926127.11,4470706.83,6,745117.81,10671256.06,13,820865.85,25580659.41,16,1598791.21,57120629.26,20,2856031.46,128560027.4,19,6766317.23,,,,2593.32,1246.07,2.08,1141271.6,Oligocene
TDP 17-6_Ready 2,,77.9,33.33,NA,NA,NA,NA,3,973284381.7,8118664.73,2351633.18,9677370.02,6,1612895,21502744.54,10,2150274.45,50442498.42,14,3603035.6,,,,,,,,,,1691.67,897.99,1.88,575339.39,Oligocene
TDP 17-7_Ready 1,,,,,,,,3,644724483.7,5963761.34,2973201.41,5798632.94,6,966438.82,17315114.97,12,1442926.25,29620296.54,18,1645572.03,,,,,,,,,,1611.45,626.64,2.57,400089.66,
TDP 17-9_Ready 1,,81.35,33.36,1.4,-2.21,1.61,-1.69,3.25,647588415.5,2353413.54,659623.43,2900429.19,5,580085.84,9412541.45,12,784378.45,23281546.85,13,1790888.22,,,,,,,,,,1410.07,777.4,1.81,459259.76,Oligocene
TDP 17-11_Ready 1,,89.9,33.43,1.23,-1.96,1.53,-1.34,4.8,1844828971,7911697.86,3249379.78,14242435.93,5,2848487.19,32557223.12,15,2170481.54,58156131.22,20,2907806.56,139426455.4,16,8714153.46,,,,,,,2129.27,878.59,2.42,866413.83,Oligocene
