sample,TDP12 Depth (m),TDP12 mcd (+58m),Age_New,d13C,d18O,d13C Cib,d18O Cib,Remarks,,
"12/1, 72-80 cm",38.72,96.72,33.67,1.097,-2.11,0.48,-1.08,,,
"12/2, 80-90 cm",39.8,97.8,33.72,0.962,-2.56,0.49,-1.43,,,
"12/3, 30-37",40.3,98.3,33.75,1.098,-2.56,,,,,
"13/1, 59-67 cm",41.59,99.59,33.8,1.079,-2.57,0.95,-1.33,,,
"14/1, 14-22 cm",44.14,102.14,33.89,0.992,-2.49,1.13,-1.17,,,
"14/1, 92-100",44.92,102.92,33.91,1.236,-2.49,1,-1.5,,,
"14/2, 90-100 cm ",45.9,103.9,33.95,0.913,-2.27,0.93,-1.37,,,
"14/3, 87-95 cm",46.87,104.87,33.98,1.198,-2.26,1.2,-1.46,,,
"15/1, 8-17 cm",47.08,105.08,33.98,1.179,-2.56,1.21,-1.56,,,
"15/2, 7-15 cm",48.07,106.07,34.01,1.18,-2.74,1.33,-1.38,,,
"16/3, 43-51 cm",52.43,110.43,34.07,0.945,-2.82,,,,,
"18/2, 61-72 cm",57.61,115.61,34.12,1.01,-2.83,0.92,-1.82,,,
"18/3, 65-76 cm",58.65,116.65,34.13,1.073,-2.94,,,,,
"19/1, 22-34 cm",59.22,117.22,34.14,0.904,-2.87,0.89,-2.86,,,
"19/2, 43-52 cm",60.43,118.43,34.15,1.055,-2.66,,,,,
"19/3, 58-66 cm",61.58,119.58,34.16,0.993,-3.29,,,,,
"20/1, 41-50 cm",62.41,120.41,34.17,0.903,-3.1,0.95,-1.67,,,
"20/2, 50-58 cm",63.5,121.5,34.18,0.819,-3.07,,,,,
"20/3, 74-83 cm",64.74,122.74,34.2,0.897,-2.91,,,,,
"21/1, 37-48 cm",65.37,123.37,34.2,0.778,-3,1.09,-1.44,,,
"21/3, 48-56 cm",67.48,125.48,34.23,0.853,-3.08,,,,,
"22/1, 41-52 cm",68.41,126.41,34.24,0.94,-2.63,0.86,-1.77,,,
"23/1, 75-84 cm",71.75,129.75,34.27,0.599,-3.08,,,,,
"23/2, 70-79 cm",72.7,130.7,34.28,0.656,-2.78,,,,,
"23/3, 89-96 cm",73.89,131.89,34.3,0.8,-2.64,,,,,
"24/1,  42-50 cm",74.72,132.72,34.3,0.957,-2.91,0.25,-1.45,,,
"24/2, 67-73 cm",75.67,133.67,34.31,0.815,-3.25,,,,,
"24/3, 0-10 cm",76,134,34.32,0.811,-3.23,,,,,
"25/1, 64-74 cm",77.89,135.89,34.34,1.038,-3.12,1.01,-1.66,,,
"26/1, 44-55 cm",80.69,138.69,34.37,1.124,-2.98,,,,,
"26/2, 54-62 cm",81.79,139.79,34.38,1.064,-2.95,,,,,
"26/3, 34-44 cm",82.59,140.59,34.39,1.013,-2.97,1.07,-1.5,,,
"27/1, 35-45 cm",89.6,147.6,34.46,0.865,-3.08,,,,,
"28/1, 66-76 cm",90.91,148.91,34.48,0.844,-3.05,0.8,-1.22,,,
"29/1, 25-35 cm",91.9,149.9,34.49,0.892,-2.88,,,,,
"29/2, 20-30 cm",92.85,150.85,34.50,0.774,-3.19,,,,,
"30/1, 25-35 cm ",93.7,151.7,34.51,0.988,-3.05,0.66,-1.74,,,
"31/1, 37-47 cm",95.02,153.02,34.52,1.041,-2.96,,,,,
"32/1, 15-24 cm",96.6,154.6,34.54,0.971,-3.01,0.88,-0.82,,,
"32/2, 10-20 cm",97.55,155.55,34.55,1.092,-3.18,,,,,
"34/1, 17-27 cm",101.42,159.42,34.59,,,0.59,-1.38,,,
"34/2, 56-66 cm",102.81,160.81,34.60,1.057,-3.01,,,,,
"35/1, 36-45 cm",103.01,161.01,34.61,1.115,-3.03,,,,,
"34/3, 68-77 cm",103.93,161.93,34.62,1.1,-3.16,,,,,
"35/2, 35-48 cm",104,162,34.62,1.069,-2.8,,,,,
"35/3, 58-68 cm",105.23,163.23,34.63,1.113,-2.87,,,,,
"36/1, 33-34 cm",107.18,165.18,34.65,1.078,-3.16,0.47,-1.41,,,
"36/2, 60-70 cm",108.45,166.45,34.66,1.008,-3.16,,,,,
"37/1, 23-33 cm",109.73,167.73,34.68,1.003,-3.03,,,,,
"37/2, 48-58 cm",110.98,168.98,34.69,1.147,-3.11,,,,,
"38/1, 81-90 cm",113.66,171.66,34.72,1.1,-2.8,,,,,
"38/2, 88-100 cm ",114.73,172.73,34.73,1.089,-2.78,0.42,-1.26,,,
"38/3, 83-93 cm",115.68,173.68,34.74,1.139,-2.96,,,,,
"39/1, 50-60 cm",116.65,174.65,34.75,1.005,-3.16,,,,,
"39/2, 55-65 cm",117.7,175.7,34.76,1.105,-3.09,,,,,
"40/1, 46 -56 cm",119.71,177.71,34.79,1.083,-2.93,,,,,
"40/2, 80-90 cm",121.05,179.05,34.80,1.127,-3.21,0.59,-1.37,,,
"40/3, 88-96 cm",122.13,180.13,34.81,0.949,-3.06,,,,,
"41/1, 39-48 cm",123.64,181.64,34.83,1.08,-2.9,,,,,
"41/2, 68-78 cm",124.93,182.93,34.84,1.004,-2.81,,,,,
"41/3, 56-67 cm",126.81,184.81,34.86,1.024,-2.69,,,,,
"42/1, 36-46 cm",127.81,185.81,34.87,1.039,-2.82,0.52,-1.36,,,
"42/2, 55-66 cm",129,187,34.88,1.061,-2.77,,,,,
"42/3, 73-86 cm",130.18,188.18,34.90,0.956,-2.87,,,,,
"43/1, 34-44 cm",132.79,190.79,34.92,1.125,-2.82,,,,,
"43/2, 78-88 cm",134.23,192.23,34.94,1.056,-2.93,,,,,
"43/3, 62-72 cm",135.07,193.07,34.95,0.996,-3.02,,,,,
"44/1, 51-61 cm",135.96,193.96,34.96,,,0.53,-1.32,,,
"44/2, 51-61 cm",136.96,194.96,34.97,0.817,-3,,,,,
"44/3, 67-77 cm",138.12,196.12,34.98,0.901,-3.54,,,,,
"45/1, 25-36 cm",138.7,196.7,34.99,0.759,-3.38,,,,,
"45/2, 44-55 cm",139.89,197.89,35.00,0.895,-3.65,,,,,
"46/1, 30 40 cm",141.75,199.75,35.02,0.864,-3.22,0.56,-1.3,,,
"46/2, 56-66 cm",143.01,201.01,35.03,0.898,-3.05,,,,,
"46/3, 35-44 cm",143.8,201.8,35.04,0.898,-3.01,,,,,
"47/1, 50-61 cm",144.95,202.95,35.05,0.806,-3.16,,,,,
"47/3, 58-68 cm",147.03,205.03,35.08,0.867,-3.06,0.44,-1.35,,,
"47/4, 26-35 cm",147.71,205.71,35.08,0.98,-3.09,,,,,
"7/2, 83-94 cm",26.28,26.28,32.98,1.03,-2.13,,,TDP-17 Core,,
"7/3, 50-56 cm",26.95,26.95,32.99,0.84,-2.33,,,,,
"8/1, 22-34 cm",27.67,27.67,32.99,0.95,-2.27,,,,,
"9/1, 20-32 cm",28.25,28.25,33.00,0.79,-2.17,,,,,
"9/2, 35-49 cm",29.4,29.4,33.00,0.57,-2.22,0.46,-2.03,,,
"9/3, 8-20 cm",30.13,30.13,33.01,0.7,-2.28,0.67,-1.95,,,
"10/1, 16-20 cm",31.21,31.21,33.01,0.99,-2.57,0.85,-2.08,,,
"10/2, 40-52 cm",32.45,32.45,33.02,0.53,-2.54,1.95,-2.16,,,
"10/2, 49-58 cm",32.54,32.54,33.02,0.29,-2.49,0.26,-2.12,,,
"10/3, 17-30 cm",33.22,33.22,33.04,0.62,-2.43,0.62,-2.11,,,
"11/1, 0-10 cm",34.05,34.05,33.04,0.72,-2.49,0.68,-2.06,,,
"11/2, 51-59 cm",35.56,35.56,33.05,0.77,-2.22,0.83,-1.92,,,
"11/3, 20-30 cm",36.25,36.25,33.06,1.18,-2.15,0.58,-2.02,,,
"12/1, 1-10 cm",37.04,37.04,33.07,1.26,-2.42,1.04,-1.95,,,
"11/4, 40-47 cm",37.45,37.45,33.06,1.12,-2.2,0.86,-1.88,,,
"12/2, 0-12 cm",38.03,38.03,33.07,0.9,-2.2,0.72,-2.03,,,
"11/5, 10-20 cm",38.55,38.55,33.06,1.19,-2.27,0.89,-1.95,,,
"13/1, 39-53 cm",41.84,41.84,33.09,1.19,-2.34,1.18,-1.78,,,
"13/2, 38-50 cm",42.83,42.83,33.10,1.18,-2.46,1.03,-2,,,
"13/3, 87-100 cm",44.32,44.32,33.11,0.67,-2.64,1.09,-1.98,,,
"14/1, 0-14 cm",44.45,44.45,33.11,1.16,-2.55,1.21,-1.97,,,
"14/2, 0-14 cm",45.45,45.45,33.13,1.47,-2.21,1.34,-2.03,,,
"15/1, 50-63 cm",47.95,47.95,33.15,1.21,-2.26,1.04,-1.78,,,
"15/2, 87-98 cm",49.32,49.32,33.17,1.14,-2.17,1.11,-1.9,,,
"15/3, 20-34 cm",49.65,49.65,33.17,1.21,-2.2,1.23,-1.83,,,
"16/1, 10-23 cm",50.55,50.55,33.18,1.11,-2.35,1.39,-1.85,,,
"16/2, 0-12 cm",51.45,51.45,33.19,1.05,-2.38,0.87,-1.85,,,
"16/3, 1-12 cm",52.46,52.46,33.20,1.14,-2.32,1.2,-1.83,,,
"17/1, 10-25 cm",53.55,53.55,33.23,1.07,-2.21,1.25,-1.92,,,
"17/2, 0-14 cm",54.45,54.45,33.23,1.13,-2.41,1.3,-1.79,,,
"17/3, 40-52 cm",55.85,55.85,33.25,1.3,-2.32,1.31,-1.95,,,
"18/1, 10-25 cm",56.55,56.55,33.26,1.22,-2.23,1.2,-1.84,,,
"18/2, 0-15 cm",57.45,57.45,33.27,1.44,-2.35,1.55,-1.91,,,
